# Domain Password File for UDDERSTRENGTH
# Format: username,password (domain prefix optional)
# Lines starting with # are ignored

UDDERSTRENGTH\ajohnson,Moose$Valley2025!
UDDERSTRENGTH\bsmith,Thunder#Cloud99!
UDDERSTRENGTH\cmartinez,Alpine@Peak2024!
UDDERSTRENGTH\dlee,River$Stream88!
UDDERSTRENGTH\edavis,Forest#Guard2025!
UDDERSTRENGTH\fthompson,Ocean@Wave77!
UDDERSTRENGTH\gwilliams,Mountain$Top66!
UDDERSTRENGTH\hclark,Desert#Storm55!
UDDERSTRENGTH\igarcia,Winter@Frost44!
UDDERSTRENGTH\IVYL,Crimson$Sky33!
UDDERSTRENGTH\jwright,Silver#Moon22!
UDDERSTRENGTH\klopez,Golden@Dawn11!
UDDERSTRENGTH\lharris,Copper#Leaf2025!
UDDERSTRENGTH\mrobinson,Emerald$Field99!
UDDERSTRENGTH\nwalker,Crystal@Lake88!
UDDERSTRENGTH\ohall,Marble#Stone77!
UDDERSTRENGTH\pyoung,Velvet$Night66!
UDDERSTRENGTH\qallen,Bronze#Torch55!
UDDERSTRENGTH\rking,Scarlet@Fire44!
UDDERSTRENGTH\sscott,Indigo#Star33!
UDDERSTRENGTH\tevans,Platinum$Edge22!
